iter	Passed	Remaining
0	17	8487
1	26	6549
2	35	5861
3	43	5426
4	52	5216
5	61	5070
6	71	5060
7	84	5195
8	97	5338
9	109	5342
10	120	5355
11	130	5321
12	141	5292
13	151	5269
14	160	5189
15	169	5123
16	177	5029
17	185	4979
18	193	4902
19	200	4821
20	209	4772
21	218	4739
22	226	4695
23	236	4681
24	244	4649
25	254	4636
26	263	4609
27	271	4578
28	280	4559
29	288	4513
30	296	4492
31	304	4460
32	313	4442
33	322	4416
34	332	4420
35	341	4406
36	351	4395
37	359	4364
38	367	4340
39	375	4318
40	383	4295
41	392	4279
42	400	4260
43	409	4242
44	417	4225
45	426	4212
46	435	4198
47	445	4194
48	454	4186
49	463	4171
50	471	4152
51	479	4127
52	487	4109
53	497	4105
54	505	4092
55	513	4074
56	521	4056
57	530	4042
58	539	4029
59	547	4015
60	558	4016
61	565	3996
62	574	3983
63	582	3967
64	591	3955
65	599	3943
66	608	3932
67	616	3918
68	625	3907
69	634	3898
70	643	3885
71	651	3872
72	659	3859
73	667	3844
74	676	3835
75	686	3828
76	696	3825
77	704	3812
78	713	3800
79	723	3797
80	731	3785
81	741	3778
82	750	3770
83	758	3757
84	767	3747
85	775	3733
86	784	3726
87	792	3710
88	801	3699
89	809	3685
90	817	3675
91	825	3662
92	834	3650
93	842	3638
94	850	3627
95	859	3615
96	867	3605
97	876	3593
98	884	3581
99	893	3572
100	901	3561
101	909	3547
102	918	3539
103	927	3529
104	935	3520
105	943	3507
106	952	3499
107	960	3487
108	968	3474
109	976	3463
110	984	3451
111	993	3440
112	1001	3428
113	1009	3417
114	1014	3395
115	1022	3384
116	1030	3374
117	1039	3364
118	1047	3353
119	1055	3343
120	1064	3335
121	1074	3327
122	1082	3319
123	1091	3311
124	1100	3300
125	1111	3299
126	1121	3293
